id;Nombre;Correo;Producto_Servicio;Puntuacion;Comentario;Recomienda_Producto;;
5380;Duncan Stafford;et@hotmail.couk;Bolsa_EcoClean;4;Muy_bueno_todo;1;;
2456;Madeline Fitzpatrick;gravida@protonmail.ca;PetTrack;3;Me_gusto_la_imagen;1;;
8417;Dolan Hayes;enim.commodo.hendrerit@outlook.couk;Fotografia_PhotoRevive;3;El_servicio_estuvo_rapido;2;;
5991;Isabelle Beard;mauris@aol.edu;Ponque_Milky;3;El_servicio_estuvo_rapido;2;;
9739;Carly Hahn;curabitur.dictum.phasellus@icloud.ca;Ponque_Milky;4;El_servicio_se_demoro;1;;
5940;Xyla Sharp;donec.est@icloud.com;Fotografia_PhotoRevive;1;Me_gusto_la_imagen;2;;
7697;Herrod Cohen;sem@protonmail.net;Galletas_NeoBoost;4;El_servicio_se_demoro;1;;
5267;Shelly Maynard;sapien.gravida@aol.edu;PetTrack;1;El_servicio_se_demoro;1;;
3029;Jane Mcintosh;lectus.a@icloud.edu;Bolsa_EcoClean;5;El_servicio_se_demoro;2;;
4510;Tatiana Baxter;sed.consequat@protonmail.com;PetTrack;4;La_imagen_me_agrado;1;;
8661;Hammett Hurley;molestie@hotmail.ca;Fotografia_PhotoRevive;4;La_imagen_me_agrado;1;;
1624;Amal Nolan;mauris.blandit.enim@outlook.edu;PetTrack;2;Me_gusto_la_imagen;1;;
4292;Yvette Hughes;ullamcorper.eu.euismod@google.ca;Fotografia_PhotoRevive;3;Me_gusto_la_imagen;1;;
717;Hanna Bates;augue@yahoo.net;Fotografia_PhotoRevive;2;Muy_bueno_todo;1;;
6081;Caldwell Battle;est.mollis.non@hotmail.net;Fotografia_PhotoRevive;4;El_servicio_estuvo_rapido;2;;
248;Shea Burch;arcu.sed@google.com;Bolsa_EcoClean;1;El_servicio_se_demoro;1;;
3977;Bevis Rivers;facilisis.eget.ipsum@hotmail.ca;Galletas_NeoBoost;2;Muy_bueno_todo;1;;
1112;Melissa Stout;sem.nulla@hotmail.ca;Fotografia_PhotoRevive;3;El_servicio_estuvo_rapido;2;;
